YEARS,COUNTIES,EMIGRANTS,BORN_URBAN,BORN_RURAL,DEAD_URBAN,DEAD_RURAL,DIVORCES_URBAN,DIVORCES_RURAL,UNEMPLOYMENT_RATE_MALE,UNEMPLOYMENT_RATE_FEMALE,EDUCATIONAL_UNITS,TEACHING_STAFF,CONFLICTS_OF_INTEREST,HOSPITALS
 Anul 1995, Municipiul Bucuresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667,0.0,0.0,52.0
 Anul 1996, Municipiul Bucuresti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,667,32289.0,0.0,52.0
 Anul 1997, Municipiul Bucuresti,3979.0,14614.0,0.0,94.0,0.0,2646.0,0.0,3.9,7.6,685,30430.0,0.0,51.0
 Anul 1998, Municipiul Bucuresti,6326.0,14812.0,0.0,91.0,0.0,3553.0,0.0,3.8,6.2,653,30185.0,0.0,50.0
 Anul 1999, Municipiul Bucuresti,3976.0,14948.0,0.0,90.0,0.0,3293.0,0.0,6.0,8.2,570,30085.0,0.0,53.0
 Anul 2000, Municipiul Bucuresti,2861.0,15396.0,0.0,80.0,0.0,2708.0,0.0,4.7,6.8,532,28515.0,0.0,54.0
 Anul 2001, Municipiul Bucuresti,1805.0,14828.0,0.0,75.0,0.0,2386.0,0.0,3.8,5.2,530,29250.0,0.0,54.0
 Anul 2002, Municipiul Bucuresti,1409.0,14573.0,0.0,81.0,0.0,2000.0,0.0,2.4,3.6,534,28515.0,0.0,52.0
 Anul 2003, Municipiul Bucuresti,1758.0,15452.0,0.0,72.0,0.0,2421.0,0.0,2.2,3.0,553,27200.0,0.0,50.0
 Anul 2004, Municipiul Bucuresti,2018.0,16912.0,0.0,93.0,0.0,3034.0,0.0,2.2,3.1,556,28643.0,0.0,51.0
 Anul 2005, Municipiul Bucuresti,1791.0,18539.0,0.0,72.0,0.0,3083.0,0.0,2.0,3.0,559,29179.0,0.0,52.0
 Anul 2006, Municipiul Bucuresti,2403.0,19355.0,0.0,73.0,0.0,2844.0,0.0,2.0,2.6,557,28384.0,0.0,52.0
 Anul 2007, Municipiul Bucuresti,1625.0,19232.0,0.0,72.0,0.0,3510.0,0.0,1.4,2.0,569,29192.0,0.0,53.0
 Anul 2008, Municipiul Bucuresti,1527.0,20590.0,0.0,63.0,0.0,3390.0,0.0,1.3,1.9,564,28551.0,29.0,54.0
 Anul 2009, Municipiul Bucuresti,1886.0,21447.0,0.0,62.0,0.0,2863.0,0.0,2.3,2.5,556,27757.0,30.0,58.0
 Anul 2010, Municipiul Bucuresti,1433.0,21147.0,0.0,57.0,0.0,2763.0,0.0,2.3,2.3,553,26303.0,15.0,75.0
 Anul 2011, Municipiul Bucuresti,6034.0,19103.0,0.0,41.0,0.0,3949.0,0.0,1.9,2.1,546,25265.0,14.0,78.0
 Anul 2012, Municipiul Bucuresti,5422.0,19221.0,0.0,43.0,0.0,3421.0,0.0,1.8,2.2,556,25093.0,2.0,78.0
 Anul 2013, Municipiul Bucuresti,6043.0,20201.0,0.0,36.0,0.0,2876.0,0.0,1.9,2.1,553,25408.0,2.0,79.0
 Anul 2014, Municipiul Bucuresti,1664.0,19433.0,0.0,61.0,0.0,2759.0,0.0,1.9,2.1,579,25189.0,2.0,83.0
 Anul 2015, Municipiul Bucuresti,2531.0,19670.0,0.0,53.0,0.0,3421.0,0.0,1.7,2.0,570,25172.0,7.0,92.0
 Anul 2016, Municipiul Bucuresti,3634.0,20207.0,0.0,65.0,0.0,3075.0,0.0,1.4,1.7,568,25362.0,6.0,93.0
 Anul 2017, Municipiul Bucuresti,3783.0,22240.0,0.0,51.0,0.0,2740.0,0.0,1.5,1.6,626,25902.0,3.0,92.0
 Anul 2018, Municipiul Bucuresti,4244.0,23480.0,0.0,48.0,0.0,2888.0,0.0,1.2,1.4,621,26494.0,8.0,71.0
 Anul 2019, Municipiul Bucuresti,4092.0,24007.0,0.0,54.0,0.0,2641.0,0.0,1.1,1.3,616,26598.0,2.0,72.0
 Anul 2020, Municipiul Bucuresti,3260.0,22520.0,0.0,45.0,0.0,2021.0,0.0,1.1,1.3,597,26675.0,2.0,72.0
 Anul 2021, Municipiul Bucuresti,5305.0,21002.0,0.0,52.0,0.0,2600.0,0.0,1.1,1.2,623,27243.0,1.0,76.0
